Probe	Chromosome	Start	End	Feature
Chr7:50782213-50782213	7	50782213	50782213	Grb10
Chr7:50782219-50782219	7	50782219	50782219	Grb10
Chr7:50782226-50782226	7	50782226	50782226	Grb10
Chr7:50782234-50782234	7	50782234	50782234	Grb10
Chr7:50782244-50782244	7	50782244	50782244	Grb10
Chr7:50782250-50782250	7	50782250	50782250	Grb10
Chr7:50782252-50782252	7	50782252	50782252	Grb10
Chr7:50782259-50782259	7	50782259	50782259	Grb10
Chr7:50782271-50782271	7	50782271	50782271	Grb10
Chr7:50782273-50782273	7	50782273	50782273	Grb10
Chr7:50782275-50782275	7	50782275	50782275	Grb10
Chr7:50782289-50782289	7	50782289	50782289	Grb10
Chr7:50782300-50782300	7	50782300	50782300	Grb10
Chr7:50782311-50782311	7	50782311	50782311	Grb10
Chr7:50782314-50782314	7	50782314	50782314	Grb10
Chr7:50782316-50782316	7	50782316	50782316	Grb10
Chr7:50782320-50782320	7	50782320	50782320	Grb10
Chr7:50782338-50782338	7	50782338	50782338	Grb10
Chr7:50782345-50782345	7	50782345	50782345	Grb10
Chr7:50782350-50782350	7	50782350	50782350	Grb10
Chr7:50782354-50782354	7	50782354	50782354	Grb10
Chr7:50782357-50782357	7	50782357	50782357	Grb10
Chr7:50782362-50782362	7	50782362	50782362	Grb10
Chr7:50782367-50782367	7	50782367	50782367	Grb10
Chr7:50782369-50782369	7	50782369	50782369	Grb10
Chr7:50782376-50782376	7	50782376	50782376	Grb10
Chr7:50782383-50782383	7	50782383	50782383	Grb10
Chr7:50782390-50782390	7	50782390	50782390	Grb10
Chr7:50782397-50782397	7	50782397	50782397	Grb10
Chr7:50782401-50782401	7	50782401	50782401	Grb10
Chr7:50782403-50782403	7	50782403	50782403	Grb10
Chr7:50782406-50782406	7	50782406	50782406	Grb10
Chr11:2002886-2002886	11	2002886	2002886	H19
Chr11:2002896-2002896	11	2002896	2002896	H19
Chr11:2002924-2002924	11	2002924	2002924	H19
Chr11:2002936-2002936	11	2002936	2002936	H19
Chr11:2002962-2002962	11	2002962	2002962	H19
Chr11:2002989-2002989	11	2002989	2002989	H19
Chr11:2002995-2002995	11	2002995	2002995	H19
Chr11:2003023-2003023	11	2003023	2003023	H19
Chr11:2003026-2003026	11	2003026	2003026	H19
Chr11:2003028-2003028	11	2003028	2003028	H19
Chr11:2003030-2003030	11	2003030	2003030	H19
Chr11:2003050-2003050	11	2003050	2003050	H19
Chr11:2003058-2003058	11	2003058	2003058	H19
Chr11:2003066-2003066	11	2003066	2003066	H19
Chr11:2003085-2003085	11	2003085	2003085	H19
Chr19:56837540-56837540	19	56837540	56837540	Peg3
Chr19:56837544-56837544	19	56837544	56837544	Peg3
Chr19:56837551-56837551	19	56837551	56837551	Peg3
Chr19:56837567-56837567	19	56837567	56837567	Peg3
Chr19:56837588-56837588	19	56837588	56837588	Peg3
Chr19:56837608-56837608	19	56837608	56837608	Peg3
Chr19:56837623-56837623	19	56837623	56837623	Peg3
Chr19:56837645-56837645	19	56837645	56837645	Peg3
Chr19:56837658-56837658	19	56837658	56837658	Peg3
Chr19:56837660-56837660	19	56837660	56837660	Peg3
Chr14:100809368-100809368	14	100809368	100809368	CG4
Chr14:100809370-100809370	14	100809370	100809370	CG4
Chr14:100809375-100809375	14	100809375	100809375	CG4
Chr14:100809386-100809386	14	100809386	100809386	CG4
Chr14:100809388-100809388	14	100809388	100809388	CG4
Chr14:100809517-100809517	14	100809517	100809517	CG4
Chr14:100809538-100809538	14	100809538	100809538	CG4
Chr14:100809553-100809553	14	100809553	100809553	CG4
Chr14:100809612-100809612	14	100809612	100809612	CG4
Chr14:100810881-100810881	14	100810881	100810881	CG6
Chr14:100810929-100810929	14	100810929	100810929	CG6
Chr14:100810931-100810931	14	100810931	100810931	CG6
Chr14:100810947-100810947	14	100810947	100810947	CG6
Chr14:100810949-100810949	14	100810949	100810949	CG6
Chr14:100810967-100810967	14	100810967	100810967	CG6
Chr14:100811001-100811001	14	100811001	100811001	CG6
Chr14:100811019-100811019	14	100811019	100811019	CG6
Chr14:100811036-100811036	14	100811036	100811036	CG6
Chr14:100811073-100811073	14	100811073	100811073	CG6
Chr14:100811087-100811087	14	100811087	100811087	CG6
Chr14:100811096-100811096	14	100811096	100811096	CG6
Chr14:100811107-100811107	14	100811107	100811107	CG6
Chr14:100811109-100811109	14	100811109	100811109	CG6
Chr14:100811114-100811114	14	100811114	100811114	CG6
Chr14:100811123-100811123	14	100811123	100811123	CG6
Chr14:100811160-100811160	14	100811160	100811160	CG6
Chr14:100811176-100811176	14	100811176	100811176	CG6
Chr14:100811237-100811237	14	100811237	100811237	CG6
Chr11:3827858-3827858 11	3827858	3827858	RHOG
Chr11:3827862-3827862 11	3827862	3827862	RHOG
Chr11:3827875-3827875 11	3827875	3827875	RHOG
Chr11:3827878-3827878 11	3827878	3827878	RHOG
Chr11:3827904-3827904 11	3827904	3827904	RHOG
Chr11:3827910-3827910 11	3827910	3827910	RHOG
Chr11:3827936-3827936 11	3827936	3827936 RHOG
Chr11:3827942-3827942 11  3827942	3827942 RHOG
Chr11:3827962-3827962 11  3827962	3827962 RHOG
Chr11:3827993-3827993 11  3827993	3827993	RHOG
Chr11:3827997-3827997 11  3827997	3827997	RHOG
